"kv273","e0085300.jpg","A II 1288","FIGUURI; ryhmä; poika; lapsi; sylissäpito; paalu; laituri","lyijykynä","lyijykynä, paperi","20","13","","Finlands Nationalgalleri",""
"kv274","e0085400.jpg","A II 1287","FIGUURI; ryhmä; poika; lapsi; kokovartalo; sylissäpito","lyijykynä","lyijykynä, paperi","21","13","","Finlands Nationalgalleri",""
"kv275","e0085500.jpg","A II 1301","FIGUURI; ryhmä; pojat; selin; tukki","lyijykynä","lyijykynä, paperi","24","39","","Finlands Nationalgalleri",""
"kv279","e0085900.jpg","A I 754:133","","","vesi- ja peiteväri, paperi","","","","",""
"kv280","e0086000.jpg","A I 754:135","","","tussi, paperi","","","","",""
"kv281","e0086100.jpg","A I 754:138","","","mustaliitu ja valkoinen peiteväri, paperi","","","","",""
"kv283","e0086300.jpg","A I 754:134","","","tussi, paperi","6","5","","",""
"kv284","e0086400.jpg","A I 754:137","","","tussi, paperi","","","","",""
"kv285","e0087800.jpg","A II 1517:23","","","lyijykynä, hiili, tussi, vesiväri, paperi","","","","",""
"kv286","e0087801.jpg","A II 1517:23","","","lyijykynä, hiili, tussi, vesiväri, paperi","","","","",""
"kv288","e0087803.jpg","A II 1517:23","","","lyijykynä, hiili, tussi, vesiväri, paperi","","","","Finlands Nationalgalleri",""
"kv289","e0087804.jpg","A II 1517:23","","","lyijykynä, hiili, tussi, vesiväri, paperi","","","","",""
"kv290","e0087805.jpg","A II 1517:23","","","lyijykynä, hiili, tussi, vesiväri, paperi","","","","Finlands Nationalgalleri",""
"kv291","e0087806.jpg","A II 1517:23","","","lyijykynä, hiili, tussi, vesiväri, paperi","","","","",""
"kv296","e0095100.jpg","A II 1537","KOHTAUS ; vene ; naise ; Berta Edelfelt (keskituhdolla) ; Annie Edelfelt ; melominen ; MAISEMA ; Haikon selkä ; purjelaivat ; ilta","öljy kankaalle","öljy, kangas","34","41","","Finlands Nationalgalleri","499"
"kv300","e0095700.jpg","A III 1961","KOHTAUS; HENKILÖKUVA; Annie Edelfelt; taiteilijan sisar; koira; kävely; MAISEMA; ranta; polku; kivet; metsä","öljy kankaalle","öljy, kangas","46","58","","Finlands Nationalgalleri","653"
"kv308","e0116200.jpg","A III 2028:228","","lyijykynä","lyijykynä, paperi","29","22","","Finlands Nationalgalleri",""
"kv313","e0117100.jpg","A III 2028:324","","lyijykynä","lyijykynä, paperi","22","21","","",""
"kv314","e0117101.jpg","A III 2028:324","","lyijykynä","lyijykynä, paperi","22","21","","",""
"kv317","e0118400.jpg","A III 2028:217","","lyijykynä","lyijykynä, paperi","39","23","","Finlands Nationalgalleri",""
"kv318","e0118600.jpg","A III 2028:271","","lyijykynä","lyijykynä, paperi","39","23","","Finlands Nationalgalleri",""
"kv319","e0118800.jpg","A-2002-580","KOHTAUS ; naiset ; kävely ; väkijoukko ; MAISEMA ; rantatie ; San Telmo; Sevilla ; Espanja ; taustalla Guadalquivir","öljy pahville","öljy, pahvi","27","33","","Finlands Nationalgalleri","330"
"kv327","e0120200.jpg","A III 2028:274","","lyijykynä","lyijykynä, paperi","35","22","","Finlands Nationalgalleri",""
"kv341","e0121400.jpg","A III 2028:321","","tussi","tussi, paperi","23","37","","",""
